"Auto Increment","Record ID","Created On","ID Cliente","Nome Empresa","Email Cliente 01","Email Cliente 02","EndereÃ§o Loja (Cliente)","Cliente desde","Data de cadastro no sistema (Cliente)","Dados Empresa","ObservaÃ§Ã£o Cliente","Website Cliente","Tota de ServiÃ§os (Cliente)","ServiÃ§os Pendente de Agendamento (Cliente)","ServiÃ§os Agendados (Cliente)","ServiÃ§os Realizados no mÃªs corrente (Cliente)","ServiÃ§os Aguardando Retorno (Cliente)","ServiÃ§os Cancelados (Cliente)",CNPJ/CPF,Rede,"ServiÃ§os Realizados no mÃªs anterior (Cliente)","Fone Fixo 01 - CLIENTE","Celular 01 - CLIENTE","Fone Fixo 02 - CLIENTE","Celular 02 - CLIENTE",Corretor,"PreferÃªncia da imobiliÃ¡ria para o agendamento","Preferencias da ImobiliÃ¡ria a respeito do serviÃ§o do fotografo","SessÃ£o FotogrÃ¡fica",Ref
276,B8qQPB0r16,"2023-09-01 17:55:04",483,"Yuri Autonomo",,,,,2023-09-01,,,,1,0,0,0,0,0,,Outros,1,,,,,,,,,
275,mloNLWYrM8,"2023-08-11 17:35:49",482,"Luciano Autônomo",,,,,2023-08-11,,,,2,0,0,1,0,0,,Outros,1,,,,,,,,,
274,oGWN5oRjlA,"2023-07-20 16:11:08",481,C3,,,,,2023-07-20,,,,13,1,0,0,2,8,,Outros,1,,,,,,,,,
273,3xPjXRpNKG,"2023-06-26 17:45:00",480,"Gleisson Particular",,,,,2023-06-26,,,,1,0,0,0,0,0,,Outros,0,,,,,,,,,
272,l5nQxExjxY,"2023-05-25 16:39:31",479,Dina,,,,,2023-05-25,,,,4,1,0,0,0,0,,Outros,2,,,,,,,,,
271,m72Npg7rwv,"2023-05-10 16:32:25",478,"Thiago Autônomo",,,,,2023-05-10,,,,1,0,0,0,0,0,,Outros,0,,,,,,,,,
270,4Z9Q2yyN2m,"2023-05-24 15:56:21",477,Chimenes,,,,,2023-05-04,,,,1,0,0,0,0,0,,Outros,0,,,,,,,,,
269,7oOjD2qNB9,"2023-04-29 12:27:09",476,"Andre Autonomo",,,,,2023-04-29,,,,0,0,0,0,0,1,,Outros,0,,,,,,,,,
268,ObEjERGrK5,"2023-04-29 12:24:53",475,,,,,,2023-04-29,,,,0,0,0,0,0,0,,,0,,,,,,,,,
267,4YZjnYmQPv,"2023-04-29 12:24:48",474,"Global Trade",,,,,2023-04-29,,,,1,0,0,0,0,0,,Outros,0,,,,,,,,,
266,PblNeRaQxw,"2023-05-02 10:09:37",473,Business,,,,,2023-04-28,,,,4,0,0,0,0,0,,Remax,0,,,,,,,,,
265,pPEryZdNOn,"2023-04-12 17:08:51",472,Thaysa,,,,,2023-04-12,,,,1,0,0,0,0,0,,Outros,1,,,,,,,,,
264,DkMjm47QvV,"2023-04-12 15:24:07",471,Invictta,,,,,2023-04-12,,,,2,1,0,0,0,0,,Outros,0,,,,,,,,,
263,X9EjVmMQo2,"2024-02-01 11:35:29",470,JBA,,,,,2023-04-11,"JBA - Vitrine do Imóvel	

* Sessão fotográfica	 R$ 120,00
Em Curitiba e com duração de até 60min. Passando de 60min, meia sessão a cada 30min. Entrega em até 2 dias úteis via Google Drive
----------------------------------------------------------------

* Video em Solo	 R$ 150,00
até 01:30. Entrega em até 2 dias úteis via Google Drive

* Reels em Solo	 R$ 150,00
até 01:00. Entrega em até 2 dias úteis via Google Drive

* Combo Video + Reels em Solo R$ 210,00
até 01:30. Entrega em até 2 dias úteis via Google Drive
----------------------------------------------------------------

* Drone (Fotos)	 R$ 350,00
até 15 imagens. Entrega em até 2 dias úteis via Google Drive

* Drone (Fotos + vídeo)	 R$ 450,00
até 15 imagens + até 01:30 de vídeo. Entrega em até 2 dias úteis via Google Drive

* Drone (foto 360º)	 R$ 250,00
pela primeira imagem demais imagens R$ 150,00. Entrega em até 2 dias úteis via Google Drive

----------------------------------------------------------------
* Tour virtual 360°	 R$ 180,00
ate 10 fotos. Foto adicional 18,00. Entrega em até 2 dias úteis via Link pronto para uso (copiar e colar)",,,17,0,0,4,0,1,,Outros,5,,,,,,,,,
262,3GDN1EYNeq,"2023-03-16 18:18:18",469,Quandt,,,,,2023-03-16,,,,1,0,0,0,0,0,,Outros,0,,,,,,,,,
261,6b1rADvjKk,"2023-03-15 17:27:14",468,"Cesar Construtor",,,,,2023-03-15,,,,1,0,0,0,0,0,,Outros,0,,,,,,,,,
260,K68j9Vyr2V,"2023-03-07 12:18:38",467,Bender,,,,,2023-03-07,,,,0,0,0,0,0,0,,Outros,0,,,,,,,,,
259,DVarwx3NOR,"2023-02-13 12:43:24",466,Capitólio,,,,,2023-02-13,,,,1,0,0,0,0,0,,Outros,0,,,,,,,,,
258,L5MjK2zQ0k,"2023-02-10 16:53:56",465,JLA,,,,,2023-02-10,,,,1,0,0,0,0,0,,Outros,0,,,,,,,,,
257,VX9Qo9GrwY,"2023-02-02 14:43:55",464,"Tantus XM7",,,,,2023-02-02,,,,2,0,0,0,0,0,,Bee,0,,,,,,,,,
256,JDXQ813jYR,"2023-01-25 09:50:14",463,,,,,,2023-01-25,,,,0,0,0,0,0,0,,,0,,,,,,,,,
255,q3kjZRxj6V,"2023-01-25 09:50:07",462,"Helen Kityane",,,,,2023-01-25,,,,1,0,0,0,0,0,,Outros,0,,,,,,,,,
254,698rdPkrZw,"2023-01-24 12:23:52",461,"Pierre Particular",,,,,2023-01-24,,,,2,0,0,0,0,0,,Outros,0,,,,,,,,,
253,K2ejloBQo9,"2023-05-02 11:13:05",460,"LOPES Home VJ",,,,,2023-01-23,,,,81,5,3,1,0,9,,Lopes,9,,,,,,,,,
252,eykNOqdjDY,"2023-01-13 10:46:33",459,AKMX,,,,,2023-01-13,,,,2,0,0,0,0,0,,Outros,0,,,,,,,,,
251,lGArg3PrmR,"2023-01-04 15:07:35",458,Abrão,,,,,2023-01-04,,,,4,0,0,0,0,0,,Outros,0,,,,,,,,,
250,o6WQbpBrnB,"2022-12-15 17:13:16",457,Marcelo,,,,,2022-12-15,,,,1,0,0,0,0,0,,Outros,0,,,,,,,,,
249,oaANB1Zr1b,"2022-12-14 13:46:53",456,Royale,,,,,2022-12-14,,,,1,0,0,0,0,0,,Remax,0,,,,,,,,,
248,4PzQ4mgjJG,"2022-12-14 13:46:44",455,"Team Work",,,,,2022-12-14,,,,2,0,0,0,0,0,,Remax,0,,,,,,,,,
247,5m9N0ExQzq,"2022-12-14 13:46:29",454,Expertise,,,,,2022-12-14,,,,8,0,1,0,0,0,,Remax,0,,,,,,,,,
246,4MXQJwKjZ6,"2022-12-14 08:03:21",453,Vivacon,,,,,2022-12-14,,,,31,2,0,2,0,4,,Outros,3,,,,,,,,,
245,DVWQWq4rZ4,"2022-10-10 09:42:15",452,"Eugenio Autonomo",,,,,2022-10-10,,,,2,0,0,0,0,0,,Outros,0,,,,,,,,,
244,ka6jMY9j75,"2022-09-27 11:32:48",451,"Alex Particular",,,,,2022-09-27,,,,1,0,0,0,0,0,,Outros,0,,,,,,,,,
243,P74QYREjBE,"2022-09-23 16:18:10",450,"RIA (Franqueadora)",,,,,2022-09-23,,,,0,0,1,0,0,0,,Apolar,0,,,,,,,,,
242,4AXQv2ZQLY,"2022-09-19 16:40:46",449,"Claudio Ex Lopes",,,,,2022-09-19,,,,2,0,0,0,0,0,,Outros,0,,,,,,,,,
241,53GN6Dzjzx,"2022-09-17 10:40:01",448,"Paulo Celles",,,,,2022-09-17,,,,52,1,8,1,0,5,,Outros,1,,,,,,,,,
240,M03rzkON69,"2022-09-06 17:22:58",447,MMRocha,,,,,2022-09-06,,,,1,0,0,0,0,0,,Outros,0,,,,,,,,,
239,LX6QagXrZk,"2022-08-18 17:39:28",446,"Prime Business",,,,,2022-08-16,,,,4,0,1,0,0,0,,Outros,0,,,,,,,,,
238,0DzjG6LQYp,"2022-08-02 11:01:50",445,CNI,,,,,2022-08-02,,,,28,0,0,0,0,3,,Outros,0,,,,,,,,,
237,kOGQ3GMQln,"2022-08-03 10:50:11",444,"Vitória Régia",,,,,2022-07-29,,,,2,0,0,0,0,0,,Outros,0,,,,,,,,,
236,JawrRZar5k,"2022-07-23 09:43:27",443,"Orlando Autonomo",,,,,2022-07-23,,,,4,0,0,0,0,1,,Outros,0,,,,,,,,,
235,kVXr7YoQJe,"2022-07-13 10:21:20",442,Composto,,,,,2022-07-13,,,,1,0,0,0,0,0,,Outros,0,,,,,,,,,
234,W0VNq2xQml,"2022-07-05 10:16:04",441,"Célia Autônoma",,,,,2022-07-05,,,,5,0,0,0,0,2,,Outros,0,,,,,,,,,
233,W4yQkm6rgP,"2022-06-30 17:37:31",440,"Corretor Junior",,,,,2022-06-30,,,,1,0,0,0,0,0,,Outros,0,,,,,,,,,
232,B8qQPq0j16,"2022-06-30 17:36:33",439,"Corretor Junior",,,,,2022-06-30,,,,0,0,0,0,0,0,,,0,,,,,,,,,
231,mloNLEYQM8,"2022-06-28 15:44:39",438,"F Rio Grande",,,,,2022-06-28,,,,0,1,0,0,0,0,,Apolar,0,,,,,,,,,
230,oGWN51RNlA,"2022-06-27 16:49:18",437,Terrasse,,,,,2022-06-27,,,,0,0,0,0,0,0,,Outros,0,,,,,,,,,
229,3xPjXvpNKG,"2022-06-25 11:06:45",436,Bergonse,,,,,2022-06-25,,,,2,0,0,0,0,1,,Outros,0,,,,,,,,,
228,l5nQxdxQxY,"2022-06-23 13:48:38",435,"Mariana Autonoma",,,,,2022-06-23,,,,1,0,0,0,0,0,,Outros,0,,,,,,,,,
227,m72Np27jwv,"2022-06-23 11:59:42",434,"Rosangela Ferrarini",,,,,2022-06-23,,,,0,0,0,0,0,0,,Outros,0,,,,,,,,,
226,4Z9Q2Xyr2m,"2022-06-20 15:33:49",433,"Airton Men Consultoria",,,,,2022-06-20,,,,6,0,0,0,0,0,,Outros,0,,,,,,,,,
225,7oOjDqqrB9,"2022-06-06 17:15:00",432,"Cézar Fernando",,,,,2022-06-06,,,,1,0,0,0,0,0,,Outros,0,,,,,,,,,
224,ObEjEqGjK5,"2022-05-23 11:05:25",431,"Paraiso Gold",,,,,2022-05-23,,,,2,0,0,0,0,0,,Outros,0,,,,,,,,,
223,4YZjn7mrPv,"2022-05-13 17:01:29",430,"Sala 77",,,,,2022-05-13,,,,5,0,0,0,0,0,,Outros,0,,,,,,,,,
222,PblNedarxw,"2022-05-13 11:24:32",429,Experato,,,,,2022-05-13,,,,7,0,0,0,0,0,,Outros,0,,,,,,,,,
221,pPEryYdrOn,"2022-05-10 17:26:51",428,"Carlos Corretor Autônomo",,,,,2022-05-10,,,,1,0,0,0,0,0,,Outros,0,,,,,,,,,
219,X9EjVyMQo2,"2022-04-13 09:55:41",426,Nkimob,,,,,2022-04-13,,,,35,0,0,0,1,9,,Outros,0,,,,,,,,,
218,3GDN1XYreq,"2022-03-23 18:08:06",425,Progresso,,,,,2022-03-23,,,,34,3,1,4,0,11,,Outros,4,,,,,,,,,
217,6b1rAAvrKk,"2022-03-09 20:06:27",424,"Hanei Minoru",,,,,2022-03-04,,,,2,0,1,0,0,0,,Outros,0,,,,,,,,,
216,K68j9eyj2V,"2022-03-09 20:06:48",423,Società,,,,,2022-03-04,,,,4,0,0,0,0,0,,Outros,0,,,,,,,,,
215,DVarwO3rOR,"2022-03-04 08:16:43",422,"Angela Corretora Autônoma",,,,,2022-03-04,,,,1,0,0,0,0,1,,Outros,0,,,,,,,,,
214,L5MjKnzQ0k,"2022-02-26 08:26:08",421,Maê,,,,,2022-02-26,,,,2,0,0,0,0,0,,Outros,0,,,,,,,,,
213,VX9QobGNwY,"2022-02-21 10:22:24",420,"Gileade Autônomo",,,,,2022-02-16,,,,4,0,0,0,0,0,,Outros,0,,,,,,,,,
212,JDXQ8g3NYR,"2022-02-14 16:52:40",419,Emilene,,,,,2022-02-14,,,,0,0,0,0,0,1,,Outros,0,,,,,,,,,
211,q3kjZ7xr6V,"2022-02-04 17:23:41",418,Remax,,,,,2022-02-04,,,,0,0,0,0,0,0,,Outros,0,,,,,,,,,
210,698rddkrZw,"2022-02-03 16:49:41",417,"Erick Avellar",,,,,2022-02-03,,,,1,0,0,0,0,0,,Outros,0,,,,,,,,,
209,K2ejlyBro9,"2022-02-03 15:06:29",416,"Júlia Yoschie",,,,,2022-02-03,,,,3,0,0,0,0,1,,Outros,0,,,,,,,,,
208,eykNOOdNDY,"2022-02-01 12:25:17",415,TKR,,,,,2022-02-01,,,,1,0,0,0,0,0,,Outros,0,,,,,,,,,
207,lGArgZPjmR,"2022-01-26 09:53:22",414,Personnalité,,,,,2022-01-26,,,,25,0,1,0,0,1,,Apolar,1,,,,,,,,,
206,o6WQbOBjnB,"2022-01-24 16:58:11",413,"Martin Imóveis",,,,,2022-01-24,,,,10,0,0,0,0,2,,Outros,0,,,,,,,,,
205,oaANB2ZN1b,"2022-01-24 16:57:14",412,"Martin Imóveis",,,,,2022-01-24,,,,0,1,0,0,0,0,,,0,,,,,,,,,
204,4PzQ4GgNJG,"2022-02-16 08:10:59",411,"Hairton Corretor Autônomo",,,,,2022-01-24,,,,4,0,0,1,0,0,,Outros,2,,,,,,,,,
203,5m9N0Gxrzq,"2022-01-24 11:42:43",410,"Shalom Imóveis",,,,,2022-01-24,,,,18,0,0,0,0,2,,Outros,0,,,,,,,,,
202,4MXQJDKrZ6,"2021-12-16 12:13:19",409,Ferrarini,,,,,2021-12-16,,,,6,1,0,0,0,1,,Outros,1,,,,,,,,,
201,DVWQWy4rZ4,"2021-12-08 12:03:03",408,Práxis,,,,,2021-12-08,,,,16,0,1,0,1,0,,Outros,0,,,,,,,,,
200,ka6jMP9Q75,"2021-11-17 11:56:10",407,"DVB Imóveis",,,,,2021-11-17,,,,11,0,0,0,0,1,,Outros,0,,,,,,,,,
199,q3kjZ7Er6V,"2021-11-03 15:03:08",406,"Sandra Corretora",,,,,2021-11-03,,,,1,0,0,0,0,0,,Outros,0,,,,,,,,,
198,698rddnrZw,"2021-10-26 10:04:21",405,"Le Monde",,,,,2021-10-26,,,,1,0,0,1,0,1,,Outros,1,,,,,,,,,
197,K2ejly3ro9,"2021-10-20 19:57:51",404,"AKG Imóveis",,,,,2021-10-20,,,,2,0,0,0,0,0,,Outros,0,,,,,,,,,
196,eykNOOBNDY,"2021-08-31 17:43:31",403,Habitarium,,,,,2021-08-31,,,,3,1,0,0,0,0,,Outros,1,,,,,,,,,
195,lGArgZkjmR,"2021-08-16 16:15:01",402,Magnifica,,,,,2021-08-16,,,,47,2,0,1,0,8,,Outros,2,,,,,,,,,
194,o6WQbOdjnB,"2021-08-12 12:22:42",401,"Adriany Rodrigues",,,,,2021-08-12,,,,13,2,0,0,0,1,,Outros,2,,,,,,,,,
193,oaANB2wN1b,"2021-07-21 12:32:27",400,Lemonde,,,,,2021-07-21,,,,3,0,0,0,0,0,,Outros,2,,,,,,,,,
192,4PzQ4GJNJG,"2021-06-16 16:39:18",399,"Pedro Felippe",,,,,2021-06-16,,,,0,0,0,0,0,0,,Outros,0,,,,,,,,,
191,5m9N0Gbrzq,"2021-06-15 16:05:49",398,"Gracco de Souza",,,,,2021-06-15,,,,2,0,0,0,0,0,,Outros,0,,,,,,,,,
190,4MXQJDxrZ6,"2021-06-22 10:36:55",397,"SNI - Souza Negócios Imobiliários",,,,,2021-06-02,,,,3,0,0,0,0,1,,Outros,0,,,,,,,,,
