Auto Increment;Record ID;Created On;ID Cliente;Nome Empresa;Rede;Email Cliente 01;Email Cliente 02;EndereÃ§o Loja (Cliente);Cliente desde;Data de cadastro no sistema (Cliente);Dados Empresa;ObservaÃ§Ã£o Cliente;Website Cliente;Tota de ServiÃ§os (Cliente);ServiÃ§os Pendente de Agendamento (Cliente);ServiÃ§os Agendados (Cliente);ServiÃ§os Realizados no mÃªs corrente (Cliente);ServiÃ§os Aguardando Retorno (Cliente);ServiÃ§os Cancelados (Cliente);CNPJ/CPF;ServiÃ§os Realizados no mÃªs anterior (Cliente);Fone Fixo 01 - CLIENTE;Celular 01 - CLIENTE;Fone Fixo 02 - CLIENTE;Celular 02 - CLIENTE;Corretor;PreferÃªncia da imobiliÃ¡ria para o agendamento;Preferencias da ImobiliÃ¡ria a respeito do serviÃ§o do fotografo;SessÃ£o FotogrÃ¡fica;Ref
274;oGWN5oRjlA;20/07/2023 16:11;481;C3;Outros;;;;;20/07/2023;;;;13;1;0;0;2;8;;1;;;;;;;;;
273;3xPjXRpNKG;26/06/2023 17:45;480;Gleisson Particular;Outros;;;;;26/06/2023;;;;1;0;0;0;0;0;;0;;;;;;;;;
272;l5nQxExjxY;25/05/2023 16:39;479;Dina;Outros;;;;;25/05/2023;;;;4;1;0;0;0;0;;2;;;;;;;;;
271;m72Npg7rwv;10/05/2023 16:32;478;Thiago Autônomo;Outros;;;;;10/05/2023;;;;1;0;0;0;0;0;;0;;;;;;;;;
270;4Z9Q2yyN2m;24/05/2023 15:56;477;Chimenes;Outros;;;;;04/05/2023;;;;1;0;0;0;0;0;;0;;;;;;;;;
269;7oOjD2qNB9;29/04/2023 12:27;476;Andre Autonomo;Outros;;;;;29/04/2023;;;;0;0;0;0;0;1;;0;;;;;;;;;
268;ObEjERGrK5;29/04/2023 12:24;475;;;;;;;29/04/2023;;;;0;0;0;0;0;0;;0;;;;;;;;;
267;4YZjnYmQPv;29/04/2023 12:24;474;Global Trade;Outros;;;;;29/04/2023;;;;1;0;0;0;0;0;;0;;;;;;;;;
266;PblNeRaQxw;02/05/2023 10:09;473;Business;Remax;;;;;28/04/2023;;;;4;0;0;0;0;0;;0;;;;;;;;;
265;pPEryZdNOn;12/04/2023 17:08;472;Thaysa;Outros;;;;;12/04/2023;;;;1;0;0;0;0;0;;1;;;;;;;;;
264;DkMjm47QvV;12/04/2023 15:24;471;Invictta;Outros;;;;;12/04/2023;;;;2;1;0;0;0;0;;0;;;;;;;;;
263;X9EjVmMQo2;01/02/2024 11:35;470;JBA;;;;;;11/04/2023;"JBA - Vitrine do Imóvel	";;;;;;;;;;;;;;;;;;;
262;3GDN1EYNeq;16/03/2023 18:18;469;Quandt;Outros;;;;;16/03/2023;;;;1;0;0;0;0;0;;0;;;;;;;;;
261;6b1rADvjKk;15/03/2023 17:27;468;Cesar Construtor;Outros;;;;;15/03/2023;;;;1;0;0;0;0;0;;0;;;;;;;;;
260;K68j9Vyr2V;07/03/2023 12:18;467;Bender;Outros;;;;;07/03/2023;;;;0;0;0;0;0;0;;0;;;;;;;;;
259;DVarwx3NOR;13/02/2023 12:43;466;Capitólio;Outros;;;;;13/02/2023;;;;1;0;0;0;0;0;;0;;;;;;;;;
258;L5MjK2zQ0k;10/02/2023 16:53;465;JLA;Outros;;;;;10/02/2023;;;;1;0;0;0;0;0;;0;;;;;;;;;
257;VX9Qo9GrwY;02/02/2023 14:43;464;Tantus XM7;Bee;;;;;02/02/2023;;;;2;0;0;0;0;0;;0;;;;;;;;;
256;JDXQ813jYR;25/01/2023 09:50;463;;;;;;;25/01/2023;;;;0;0;0;0;0;0;;0;;;;;;;;;
255;q3kjZRxj6V;25/01/2023 09:50;462;Helen Kityane;Outros;;;;;25/01/2023;;;;1;0;0;0;0;0;;0;;;;;;;;;
254;698rdPkrZw;24/01/2023 12:23;461;Pierre Particular;Outros;;;;;24/01/2023;;;;1;0;0;0;0;0;;1;;;;;;;;;
253;K2ejloBQo9;02/05/2023 11:13;460;LOPES Home VJ;Lopes;;;;;23/01/2023;;;;84;5;3;1;0;9;;4;;;;;;;;;
252;eykNOqdjDY;13/01/2023 10:46;459;AKMX;Outros;;;;;13/01/2023;;;;2;0;0;0;0;0;;0;;;;;;;;;
251;lGArg3PrmR;04/01/2023 15:07;458;Abrão;Outros;;;;;04/01/2023;;;;4;0;0;0;0;0;;0;;;;;;;;;
250;o6WQbpBrnB;15/12/2022 17:13;457;Marcelo;Outros;;;;;15/12/2022;;;;1;0;0;0;0;0;;0;;;;;;;;;
249;oaANB1Zr1b;14/12/2022 13:46;456;Royale;Remax;;;;;14/12/2022;;;;1;0;0;0;0;0;;0;;;;;;;;;
248;4PzQ4mgjJG;14/12/2022 13:46;455;Team Work;Remax;;;;;14/12/2022;;;;2;0;0;0;0;0;;0;;;;;;;;;
247;5m9N0ExQzq;14/12/2022 13:46;454;Expertise;Remax;;;;;14/12/2022;;;;8;0;1;0;0;0;;0;;;;;;;;;
246;4MXQJwKjZ6;14/12/2022 08:03;453;Vivacon;Outros;;;;;14/12/2022;;;;33;1;1;1;0;4;;4;;;;;;;;;
245;DVWQWq4rZ4;10/10/2022 09:42;452;Eugenio Autonomo;Outros;;;;;10/10/2022;;;;2;0;0;0;0;0;;0;;;;;;;;;
244;ka6jMY9j75;27/09/2022 11:32;451;Alex Particular;Outros;;;;;27/09/2022;;;;1;0;0;0;0;0;;0;;;;;;;;;
243;P74QYREjBE;23/09/2022 16:18;450;RIA (Franqueadora);Apolar;;;;;23/09/2022;;;;0;0;1;0;0;0;;0;;;;;;;;;
242;4AXQv2ZQLY;19/09/2022 16:40;449;Claudio Ex Lopes;Outros;;;;;19/09/2022;;;;2;0;0;0;0;0;;0;;;;;;;;;
241;53GN6Dzjzx;17/09/2022 10:40;448;Paulo Celles;Outros;;;;;17/09/2022;;;;52;1;8;1;0;5;;1;;;;;;;;;
240;M03rzkON69;06/09/2022 17:22;447;MMRocha;Outros;;;;;06/09/2022;;;;1;0;0;0;0;0;;0;;;;;;;;;
239;LX6QagXrZk;18/08/2022 17:39;446;Prime Business;Outros;;;;;16/08/2022;;;;4;0;1;0;0;0;;0;;;;;;;;;
238;0DzjG6LQYp;02/08/2022 11:01;445;CNI;Outros;;;;;02/08/2022;;;;28;0;0;0;0;3;;0;;;;;;;;;
237;kOGQ3GMQln;03/08/2022 10:50;444;Vitória Régia;Outros;;;;;29/07/2022;;;;2;0;0;0;0;0;;0;;;;;;;;;
236;JawrRZar5k;23/07/2022 09:43;443;Orlando Autonomo;Outros;;;;;23/07/2022;;;;4;0;0;0;0;1;;0;;;;;;;;;
235;kVXr7YoQJe;13/07/2022 10:21;442;Composto;Outros;;;;;13/07/2022;;;;1;0;0;0;0;0;;0;;;;;;;;;
234;W0VNq2xQml;05/07/2022 10:16;441;Célia Autônoma;Outros;;;;;05/07/2022;;;;5;0;0;0;0;2;;0;;;;;;;;;
233;W4yQkm6rgP;30/06/2022 17:37;440;Corretor Junior;Outros;;;;;30/06/2022;;;;1;0;0;0;0;0;;0;;;;;;;;;
232;B8qQPq0j16;30/06/2022 17:36;439;Corretor Junior;;;;;;30/06/2022;;;;0;0;0;0;0;0;;0;;;;;;;;;
231;mloNLEYQM8;28/06/2022 15:44;438;F Rio Grande;Apolar;;;;;28/06/2022;;;;0;1;0;0;0;0;;0;;;;;;;;;
230;oGWN51RNlA;27/06/2022 16:49;437;Terrasse;Outros;;;;;27/06/2022;;;;0;0;0;0;0;0;;0;;;;;;;;;
229;3xPjXvpNKG;25/06/2022 11:06;436;Bergonse;Outros;;;;;25/06/2022;;;;2;0;0;0;0;1;;0;;;;;;;;;
228;l5nQxdxQxY;23/06/2022 13:48;435;Mariana Autonoma;Outros;;;;;23/06/2022;;;;1;0;0;0;0;0;;0;;;;;;;;;
227;m72Np27jwv;23/06/2022 11:59;434;Rosangela Ferrarini;Outros;;;;;23/06/2022;;;;0;0;0;0;0;0;;0;;;;;;;;;
226;4Z9Q2Xyr2m;20/06/2022 15:33;433;Airton Men Consultoria;Outros;;;;;20/06/2022;;;;6;0;0;0;0;0;;0;;;;;;;;;
225;7oOjDqqrB9;06/06/2022 17:15;432;Cézar Fernando;Outros;;;;;06/06/2022;;;;1;0;0;0;0;0;;0;;;;;;;;;
224;ObEjEqGjK5;23/05/2022 11:05;431;Paraiso Gold;Outros;;;;;23/05/2022;;;;2;0;0;0;0;0;;0;;;;;;;;;
223;4YZjn7mrPv;13/05/2022 17:01;430;Sala 77;Outros;;;;;13/05/2022;;;;5;0;0;0;0;0;;0;;;;;;;;;
222;PblNedarxw;13/05/2022 11:24;429;Experato;Outros;;;;;13/05/2022;;;;7;0;0;0;0;0;;0;;;;;;;;;
221;pPEryYdrOn;10/05/2022 17:26;428;Carlos Corretor Autônomo;Outros;;;;;10/05/2022;;;;1;0;0;0;0;0;;0;;;;;;;;;
219;X9EjVyMQo2;13/04/2022 09:55;426;Nkimob;Outros;;;;;13/04/2022;;;;35;0;0;0;1;9;;0;;;;;;;;;
218;3GDN1XYreq;23/03/2022 18:08;425;Progresso;Outros;;;;;23/03/2022;;;;34;3;1;4;0;11;;4;;;;;;;;;
217;6b1rAAvrKk;09/03/2022 20:06;424;Hanei Minoru;Outros;;;;;04/03/2022;;;;2;0;1;0;0;0;;0;;;;;;;;;
216;K68j9eyj2V;09/03/2022 20:06;423;Società;Outros;;;;;04/03/2022;;;;4;0;0;0;0;0;;0;;;;;;;;;
215;DVarwO3rOR;04/03/2022 08:16;422;Angela Corretora Autônoma;Outros;;;;;04/03/2022;;;;1;0;0;0;0;1;;0;;;;;;;;;
214;L5MjKnzQ0k;26/02/2022 08:26;421;Maê;Outros;;;;;26/02/2022;;;;2;0;0;0;0;0;;0;;;;;;;;;
213;VX9QobGNwY;21/02/2022 10:22;420;Gileade Autônomo;Outros;;;;;16/02/2022;;;;4;0;0;0;0;0;;0;;;;;;;;;
212;JDXQ8g3NYR;14/02/2022 16:52;419;Emilene;Outros;;;;;14/02/2022;;;;0;0;0;0;0;1;;0;;;;;;;;;
211;q3kjZ7xr6V;04/02/2022 17:23;418;Remax;Outros;;;;;04/02/2022;;;;0;0;0;0;0;0;;0;;;;;;;;;
210;698rddkrZw;03/02/2022 16:49;417;Erick Avellar;Outros;;;;;03/02/2022;;;;1;0;0;0;0;0;;0;;;;;;;;;
209;K2ejlyBro9;03/02/2022 15:06;416;Júlia Yoschie;Outros;;;;;03/02/2022;;;;3;0;0;0;0;1;;0;;;;;;;;;
208;eykNOOdNDY;01/02/2022 12:25;415;TKR;Outros;;;;;01/02/2022;;;;1;0;0;0;0;0;;0;;;;;;;;;
207;lGArgZPjmR;26/01/2022 09:53;414;Personnalité;Apolar;;;;;26/01/2022;;;;25;0;1;0;0;1;;1;;;;;;;;;
206;o6WQbOBjnB;24/01/2022 16:58;413;Martin Imóveis;Outros;;;;;24/01/2022;;;;10;0;0;0;0;2;;0;;;;;;;;;
205;oaANB2ZN1b;24/01/2022 16:57;412;Martin Imóveis;;;;;;24/01/2022;;;;0;1;0;0;0;0;;0;;;;;;;;;
204;4PzQ4GgNJG;16/02/2022 08:10;411;Hairton Corretor Autônomo;Outros;;;;;24/01/2022;;;;4;0;0;1;0;0;;2;;;;;;;;;
203;5m9N0Gxrzq;24/01/2022 11:42;410;Shalom Imóveis;Outros;;;;;24/01/2022;;;;18;0;0;0;0;2;;0;;;;;;;;;
202;4MXQJDKrZ6;16/12/2021 12:13;409;Ferrarini;Outros;;;;;16/12/2021;;;;6;1;0;0;0;1;;1;;;;;;;;;
201;DVWQWy4rZ4;08/12/2021 12:03;408;Práxis;Outros;;;;;08/12/2021;;;;16;0;1;0;1;0;;0;;;;;;;;;
200;ka6jMP9Q75;17/11/2021 11:56;407;DVB Imóveis;Outros;;;;;17/11/2021;;;;11;0;0;0;0;1;;0;;;;;;;;;
199;q3kjZ7Er6V;03/11/2021 15:03;406;Sandra Corretora;Outros;;;;;03/11/2021;;;;1;0;0;0;0;0;;0;;;;;;;;;
198;698rddnrZw;26/10/2021 10:04;405;Le Monde;Outros;;;;;26/10/2021;;;;1;0;0;1;0;1;;1;;;;;;;;;
197;K2ejly3ro9;20/10/2021 19:57;404;AKG Imóveis;Outros;;;;;20/10/2021;;;;2;0;0;0;0;0;;0;;;;;;;;;
196;eykNOOBNDY;31/08/2021 17:43;403;Habitarium;Outros;;;;;31/08/2021;;;;3;1;0;0;0;0;;1;;;;;;;;;
195;lGArgZkjmR;16/08/2021 16:15;402;Magnifica;Outros;;;;;16/08/2021;;;;47;2;0;1;0;8;;2;;;;;;;;;
194;o6WQbOdjnB;12/08/2021 12:22;401;Adriany Rodrigues;Outros;;;;;12/08/2021;;;;13;2;1;0;0;1;;0;;;;;;;;;
193;oaANB2wN1b;21/07/2021 12:32;400;Lemonde;Outros;;;;;21/07/2021;;;;3;0;0;0;0;0;;2;;;;;;;;;
192;4PzQ4GJNJG;16/06/2021 16:39;399;Pedro Felippe;Outros;;;;;16/06/2021;;;;0;0;0;0;0;0;;0;;;;;;;;;
191;5m9N0Gbrzq;15/06/2021 16:05;398;Gracco de Souza;Outros;;;;;15/06/2021;;;;2;0;0;0;0;0;;0;;;;;;;;;
190;4MXQJDxrZ6;22/06/2021 10:36;397;SNI - Souza Negócios Imobiliários;Outros;;;;;02/06/2021;;;;3;0;0;0;0;1;;0;;;;;;;;;
188;ka6jMPMQ75;26/05/2021 09:20;395;Souza Negócios Imobiliários;Outros;;;;;26/05/2021;;;;1;0;0;1;0;1;;1;;;;;;;;;
187;P74QYvLjBE;06/05/2021 12:35;394;Estado Maior;Outros;;;;;06/05/2021;;;;3;0;0;0;0;0;;0;;;;;;;;;
186;4AXQvKxjLY;29/04/2021 16:29;393;AJR;Outros;;;;;29/04/2021;;;;44;0;0;0;0;5;;0;;;;;;;Andre Jao;;
185;53GN6KVQzx;28/04/2021 13:29;392;Casa ao Lado;Bee;;;;;28/04/2021;MURALHA / JOSUÉ / FUTURA;;;346;10;57;0;2;58;;0;;;;;;;;;
184;M03rz2Ar69;19/04/2021 17:58;391;Treèle;Outros;;;;;19/04/2021;;;;3;0;0;1;0;0;;2;;;;;;;;;
182;0DzjGeRNYp;12/03/2021 10:47;389;Antonio Prieto;Outros;;;;;08/03/2021;;;;5;0;0;0;0;0;;0;;;;;;;;;
181;kOGQ37GQln;03/03/2021 09:56;388;Andrea Olsen;Outros;;;;;03/03/2021;;;;1;0;0;1;0;0;;1;;;;;;;;;
180;JawrRqqj5k;14/01/2022 13:20;387;Rebouças;Apolar;;;695 Rua Nunes Machado, , 80220-070;;01/03/2021;;;;80;1;0;3;0;6;;12;4132226745;;;;;;;;
179;kVXr7gbrJe;23/02/2021 08:47;386;Reveste Interiores;Outros;;;;;23/02/2021;;;;1;0;0;0;0;2;;0;;;;;;;;;
177;W4yQkw3QgP;08/02/2021 17:18;384;CTBA;Outros;;;;;08/02/2021;;;;1;0;0;0;0;0;;0;;;;;;;;;
176;B8qQPEnj16;27/01/2021 13:13;383;Viviane Trzeiak;Outros;;;;;27/01/2021;;;;2;0;0;2;0;0;;2;;;;;;;;;
175;mloNLRnjM8;08/01/2021 12:28;382;Fanny;Apolar;;;;;08/01/2021;;;;1;0;0;1;0;2;;1;;;;;;;;;
174;oGWN5G9jlA;08/01/2021 12:09;381;B Alto;Apolar;;;;;08/01/2021;;;;4;2;0;3;0;5;;3;;;;;;;;;
172;l5nQx74NxY;14/01/2022 13:03;379;Alphaville;Apolar;luiz.rodrigues@apolaralphaville.com.br;iury.lopes@apolarpersonnalite.com.br;20 Rua Iapó, , 83327-075;;06/01/2021;D J I - Assessoria Imobiliária Ltda;;;46;2;2;1;0;0;;5;4199104289;;;;;;;;
171;m72Npy5Qwv;14/04/2021 17:23;378;Aris;Outros;;;;;17/12/2020;;;;15;0;0;0;0;3;;0;;;;;;;;;
